Title,Run,Case Status,Defect,Assignee,Root Cause
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593561">ContactVerification - SendCode - AchPull</a>,BaaS_Partner ContactVerification Service,Passed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593778">Interest Rate Tier</a>,BaaS_Core Service,Passed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593779">Interest Rate Tiers- All Products</a>,BaaS_Core Service,Not Valid,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593778">Interest Rate Tier</a>,BaaS_Core Service,Not Valid,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593779">Interest Rate Tiers- All Products</a>,BaaS_Core Service,Failed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593787">Accounts - Financial Data Account</a>,BaaS_Core Service,Passed,,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593818">GetAccountBinType - Happy Path</a>,BaaS_Core Service,Not Valid,,Cindy Song,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594082">GetInterestTiersByProgramCode - HappyPath</a>,BaaS_Partner Service_ACC,Passed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594082">GetInterestTiersByProgramCode - HappyPath</a>,BaaS_Partner Service_ACC,Failed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594078">Enroll OD3 - Qualified Eligibility - ACI</a>,BaaS_Partner Service_ACC,Blocked,,Nick Xiong,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594077">Enroll OD2 - Qualified Eligibility - ACI</a>,BaaS_Partner Service_ACC,Blocked,,Nick Xiong,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594076">Enroll OD1 - Qualified Eligibility - ACI</a>,BaaS_Partner Service_ACC,Blocked,ACI-1913,Nick Xiong,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594038">ActivateCard - ReportDamageOnConsolidatedCard</a>,BaaS_Partner Service_ACC,Passed,,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594133">Enrollments - IDV Fail due to fraudulent ID - OVR-A - CallFraudAPIToUpdate</a>,BaaS_Partner Service_ACC,Passed,,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594130">Enrollments - IDVPassed - FraudObject-IpAddress</a>,BaaS_Partner Service_ACC,Passed,,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594126">Enrollments - IDV Retry due to Image Upload Failure - DDAHH</a>,BaaS_Partner Service_ACC,Passed,,David Li,
