Title,Run,Case Status,Defect,Assignee,Root Cause
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594054">ProvisioningAUTH - VisaCard-DDA</a>,BaaS_Partner Service_ACC,Passed,,Harry Song,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594052">Transactions - VTS  NoUpdates</a>,BaaS_Partner Service_ACC,Passed,,Harry Song,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594051">ProvisioningAUTH - VisaCard</a>,BaaS_Partner Service_ACC,Passed,,Harry Song,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593968">AccountStatusChange - WithODExisted - IDVPass - FromNonActiveToActive - ODNotification</a>,BaaS_Partner Service_ACC,Passed,,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593967">AccountStatusChange -IDVPass - FromNonActiveToActive - ODNotification</a>,BaaS_Partner Service_ACC,Passed,,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594110">PaymentInstruments - Complete - IncompleteEnrollments</a>,BaaS_Partner Service_ACC,Passed,,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593968">AccountStatusChange - WithODExisted - IDVPass - FromNonActiveToActive - ODNotification</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177593967">AccountStatusChange -IDVPass - FromNonActiveToActive - ODNotification</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594110">PaymentInstruments - Complete - IncompleteEnrollments</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,Sparta Zhang,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594097">UpdateUserNameUnencrypted - Invalid Prameters</a>,BaaS_Partner Service_ACC,Not Valid,,Ping Hu,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594133">Enrollments - IDV Fail due to fraudulent ID - OVR-A - CallFraudAPIToUpdate</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594126">Enrollments - IDV Retry due to Image Upload Failure - DDAHH</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594130">Enrollments - IDVPassed - FraudObject-IpAddress</a>,BaaS_Partner Service_ACC,Blocked,GBOS-105249,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177594124">Enrollments-PhoneNumber-NonSMB-ActiveAcctsExceeded-BypassHeader</a>,BaaS_Partner Service_ACC,Passed,,David Li,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177601829">NO Notify OD transaction from FP - PurchaseTransaction - DEL</a>,BaaS_Partner_Service_TX,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177601830">No OD transaction notification from FP - PurchaseTransactions Without Negative Balance</a>,BaaS_Partner_Service_TX,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602216">ACHTransferAssessment - SubsequentTransferMonthly</a>,BaaSGateway Service_WMMC,Passed,,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602216">ACHTransferAssessment - SubsequentTransferMonthly</a>,BaaSGateway Service_WMMC,Blocked,,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602113">OdFeature - OptOut - HappyPath</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602113">OdFeature - OptOut - HappyPath</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602115">OdFeature - Eligibility - ODOptOut - After35days</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602117">OdFeature - Eligibility - Tier0 - nonActiveAccountStatus - AlreadyEnrolled</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602333">GetAllDefaultSettings - DB Check</a>,BaaSGateway Service_WMMC,Passed,,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602306">GetFeaturesLibraryEligibility - Overdraft - HappyPath</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
<a href="https://gdcqatestrail01/testrail/index.php?/tests/view/177602118">OdFeature - Eligibility - Suspend- true</a>,BaaSGateway Service_WMMC,Blocked,ACI-1913,None,
